Timestamp,1.  País,2.  Gènere,3.  Curs/Any d'estudi,4. Fins a quin punt et consideres expert en Intel·ligència Artificial?,"2.1Amb quina freqüència utilitzeu actualment eines d'IA generativa (per exemple, ChatGPT, Claude, Gemini, Midjourney)?",2.2 Quines són les tasques principals per a les quals utilitzes la IA? (Selecciona fins a 3),"2.2.1  Quan generes text o contingut utilitzant IA, com gestiones normalment el resultat?",2.2.2 Com avalues normalment la qualitat dels resultats generats per IA en comparació amb el que podries haver fet pel teu compte?,"2.2.3 En general, com afecta l'ús de la IA el temps i l'esforç necessaris per a les teves tasques?","2.2.4 Quant de temps i esforç dediqueu habitualment a interactuar amb la IA (per exemple, reescriure prompts, demanar ajustos) per obtenir un resultat satisfactori?",2.3 Quina confiança tens en la teva capacitat per distingir un text o imatge creat per una persona d'un generat per IA?,"2.3.1 Quan una eina d'IA et proporciona nova informació històrica, científica o factual, què fas habitualment?","2.3.2 Has vist mai una eina d'IA que inventa completament una font, fet o nom que sona extremadament convincent però que en realitat és fals?","2.3.3 Has notat mai que les imatges o textos generats per IA tendeixen a reflectir estereotips culturals o de gènere (per exemple, retratar metges principalment com a homes i infermeres com a dones)?","2.4 Quan penses en la integració de la IA a l'escola i l'educació, quins dels següents sentiments predominen? (Selecciona fins a 3)
",DS1.1 Quan es llança una nova tecnologia digital:,DS1.2 Amb quina freqüència utilitzeu eines d'IA generativa específicament per a tasques relacionades amb l'escola o la feina?,DS1.3 Veus la IA principalment com:,DS1.5 Els meus professors proporcionen directrius clares i suport sobre com utilitzar la IA en el meu camí educatiu. ,"DS2 Indica il tuo livello di accordo con le seguenti affermazioni riguardanti il funzionamento dell’Intelligenza Artificiale. [Les eines d'IA realment ""entenen"" el significat del text que generen.]","DS2 Indica il tuo livello di accordo con le seguenti affermazioni riguardanti il funzionamento dell’Intelligenza Artificiale. [La informació proporcionada per la IA és generalment neutral, objectiva i imparcial.]",DS2 Indica il tuo livello di accordo con le seguenti affermazioni riguardanti il funzionamento dell’Intelligenza Artificiale. [Crec que la IA és inherentment més intel·ligent i capaç que els éssers humans.],DS2 Indica il tuo livello di accordo con le seguenti affermazioni riguardanti il funzionamento dell’Intelligenza Artificiale. [Normalment confio en l'exactitud factual de les respostes generades per IA sense sentir la necessitat de comprovar altres fonts.],DS2 Indica il tuo livello di accordo con le seguenti affermazioni riguardanti il funzionamento dell’Intelligenza Artificiale. [Entenc perfectament com un assistent GenAI genera les seves respostes.],DS2 Indica il tuo livello di accordo con le seguenti affermazioni riguardanti il funzionamento dell’Intelligenza Artificiale. [La manera com demano alguna cosa a la IA no afecta la qualitat del resultat produït.],DS3 Quanto sei preoccupato/a per le seguenti potenziali conseguenze dell’utilizzo dell’IA nell’istruzione? [Els professors m'acusen injustament d'utilitzar IA per als meus treballs encara que no sigui així.],DS3 Quanto sei preoccupato/a per le seguenti potenziali conseguenze dell’utilizzo dell’IA nell’istruzione? [Fer servir IA per fer els deures em farà perdre la capacitat de pensar críticament i aprendre de manera independent. ],"DS3 Quanto sei preoccupato/a per le seguenti potenziali conseguenze dell’utilizzo dell’IA nell’istruzione? [La dificultat de distingir entre contingut creat per humans i generat per IA (per exemple, notícies falses, deepfakes).]","DS3 Quanto sei preoccupato/a per le seguenti potenziali conseguenze dell’utilizzo dell’IA nell’istruzione? [Les eines d'IA  podrien reforçar els biaixos socials i la discriminació existents (per exemple, gènere, raça, estereotips culturals).]",DS3 Quanto sei preoccupato/a per le seguenti potenziali conseguenze dell’utilizzo dell’IA nell’istruzione? [L'accés desigual a eines d'IA premium (de pagament) crearà avantatges injustos entre els estudiants.],DS3.8 Em preocupa que dependre de la IA per produir feina d'alta qualitat em faci sentir menys capaç o intel·ligent quan he de fer tasques similars pel meu compte.,"DS4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Espero que la IA acceleri significativament les meves tasques diàries d'estudi/feina, fent-me més eficient.]","DS4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Crec que la IA pot adaptar perfectament els materials d'aprenentatge per adaptar-los al ritme i l'estil d'aprenentatge de cada alumne.]","DS4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Espero que la IA faci que l'aprenentatge sigui més accessible i inclusiu per a estudiants amb necessitats cognitives diverses o barreres lingüístiques.]","DS4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Veig la IA com un tutor sense judicis que està disponible les 24 hores del dia per respondre les meves preguntes sense fer-me sentir inadequat.]","DS4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Espero que la IA em doni millor orientació per a les meves futures eleccions universitàries o professionals que l'orientació escolar tradicional.]"
27/03/2026 17:02:24,Espanya,Home,2n any,1 - Principiant absolut: No en sé gairebé res. He sentit el terme però realment no sé què és ni com s'utilitza.,Diari,Traduir textos o aprendre una llengua,Reviso la sortida generada per IA per identificar possibles errors i refinar el text segons calgui.,La IA va obtenir un resultat molt millor del que jo podria tenir.,És un gran estalvi de temps.,Molt poc temps (normalment accepto la primera resposta que dona).,Molt segur de mi mateix,Jo hi confio completament i l'utilitzo tal com està.,"Sí, de tant en tant.","Sí, sovint.",Curiositat,Ets un dels primers a provar-ho.,Diari,Un tutor/mentor personal (per explicar conceptes i ajudar-me a aprendre).,D'acord,D'acord,Totalment en desacord,D'acord,Totalment en desacord,En desacord,Totalment en desacord,Lleugerament preocupat,Lleugerament preocupat,Lleugerament preocupat,Gens preocupat,Lleugerament preocupat,No hi estic gens d'acord,En desacord,D'acord,Totalment en desacord,En desacord,D'acord
27/03/2026 17:00:59,Espanya,Home,2n any,"2 - Novell: Conec els conceptes bàsics i he vist eines d'IA, però rarament o mai les faig servir.",Unes quantes vegades a la setmana,"Fer pluja d'idees i trobar inspiració, Ajudar amb els deures / Planificació de classes, Generació d'imatges o presentacions","El llegeixo per comprovar errors greus, però el mantinc gairebé intacte.",La IA i jo hauríem produït un resultat similar.,És un gran estalvi de temps.,Un temps moderat (demano alguns ajustos o refinaments).,Molt segur de mi mateix,Li pregunto a la IA si està segura de la resposta.,"No, mai.","No, mai.","Curiositat, Entusiasme",Ets un dels primers a provar-ho.,Diari,Un motor de cerca intel·ligent (per trobar informació ràpidament i amb precisió).,D'acord,D'acord,D'acord,En desacord,D'acord,D'acord,D'acord,Moderadament preocupat,Lleugerament preocupat,Lleugerament preocupat,Lleugerament preocupat,Moderadament preocupat,D'acord,Totalment d'acord,D'acord,D'acord,D'acord,Totalment en desacord
27/03/2026 16:58:17,Espanya,Home,2n any,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Diari,"Fer pluja d'idees i trobar inspiració, Resum de documents o articles llargs, Generació d'imatges o presentacions",Reviso la sortida generada per IA per identificar possibles errors i refinar el text segons calgui.,La IA i jo hauríem produït un resultat similar.,"Enriqueix la meva obra (em dóna idees que no hauria tingut), però em porta aproximadament el mateix temps.",Un temps moderat (demano alguns ajustos o refinaments).,Molt segur de mi mateix,Li pregunto a la IA si està segura de la resposta.,"Sí, de tant en tant.",Mai no havia prestat atenció a aquest aspecte.,"Curiositat, Esperança, Sospita",Ets un dels primers a provar-ho.,Unes quantes vegades al mes,Un tutor/mentor personal (per explicar conceptes i ajudar-me a aprendre).,Totalment d'acord,En desacord,D'acord,D'acord,Totalment en desacord,En desacord,D'acord,Gens preocupat,Lleugerament preocupat,Molt preocupat,Molt preocupat,Molt preocupat,No estic d'acord,En desacord,Totalment d'acord,D'acord,D'acord,Totalment d'acord
27/03/2026 16:58:16,Espanya,Home,2n any,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades a la setmana,"Fer pluja d'idees i trobar inspiració, Resolució de problemes de matemàtiques/lògica o programació, Ajudar amb els deures / Planificació de classes",L'utilitzo com a esborrany o inspiració i el reescric molt.,La IA i jo hauríem produït un resultat similar.,"Enriqueix la meva obra (em dóna idees que no hauria tingut), però em porta aproximadament el mateix temps.",Un temps moderat (demano alguns ajustos o refinaments).,Una mica segur de si mateix,Jo hi confio completament i l'utilitzo tal com està.,"No, mai.","Sí, de tant en tant.",Curiositat,Només l'utilitzes si és estrictament necessari per a l'escola o la feina.,Unes quantes vegades al mes,Un tutor/mentor personal (per explicar conceptes i ajudar-me a aprendre).,D'acord,Totalment en desacord,En desacord,En desacord,D'acord,D'acord,Totalment en desacord,Gens preocupat,Gens preocupat,Molt preocupat,Lleugerament preocupat,Gens preocupat,No estic d'acord,D'acord,D'acord,D'acord,D'acord,En desacord
27/03/2026 16:58:08,Espanya,Home,2n any,"4 - Avançat: Utilitzo regularment eines d'IA per a diverses tasques i tinc un bon coneixement de les seves capacitats, límits i possibles biaixos.",Unes quantes vegades a la setmana,"Resum de documents o articles llargs, Resolució de problemes de matemàtiques/lògica o programació, Ajudar amb els deures / Planificació de classes, Generació d'imatges o presentacions","El llegeixo per comprovar errors greus, però el mantinc gairebé intacte.","El meu treball original hauria estat millor, però la IA era més ràpida.",No té cap impacte significatiu en el meu temps ni esforç.,Un temps moderat (demano alguns ajustos o refinaments).,Una mica segur de si mateix,Li pregunto a la IA si està segura de la resposta.,"Sí, de tant en tant.","No, mai.","Ansietat, Por, Esperança, Entusiasme",Ho proves després d'escoltar coses bones d'amics o companys de feina.,Unes quantes vegades a la setmana,Un tutor/mentor personal (per explicar conceptes i ajudar-me a aprendre).,D'acord,En desacord,En desacord,D'acord,Totalment en desacord,En desacord,Totalment en desacord,Lleugerament preocupat,Molt preocupat,Extremadament preocupat,Extremadament preocupat,Lleugerament preocupat,D'acord,Totalment d'acord,En desacord,D'acord,Totalment en desacord,En desacord
27/03/2026 16:57:31,Espanya,Home,2n any,"2 - Novell: Conec els conceptes bàsics i he vist eines d'IA, però rarament o mai les faig servir.",Rarament,"Fer pluja d'idees i trobar inspiració, Resum de documents o articles llargs",Reviso la sortida generada per IA per identificar possibles errors i refinar el text segons calgui.,La IA i jo hauríem produït un resultat similar.,És una pèrdua de temps (dedico més temps a demanar i corregir que no pas a fer-ho jo mateix).,Un temps moderat (demano alguns ajustos o refinaments).,Molt segur de mi mateix,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.","No, mai.",Mai no havia prestat atenció a aquest aspecte.,Entusiasme,Només l'utilitzes si és estrictament necessari per a l'escola o la feina.,Rarament,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,Totalment d'acord,En desacord,D'acord,Totalment en desacord,En desacord,En desacord,Lleugerament preocupat,Molt preocupat,Extremadament preocupat,Moderadament preocupat,Gens preocupat,No estic d'acord,Totalment en desacord,Totalment en desacord,En desacord,Totalment d'acord,D'acord
27/03/2026 16:56:09,Espanya,Home,2n any,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades a la setmana,"Traduir textos o aprendre una llengua, Resum de documents o articles llargs, Generació d'imatges o presentacions",Només faig servir IA per revisar o corregir contingut que he escrit completament jo mateix.,La IA va obtenir un resultat molt millor del que jo podria tenir.,És un gran estalvi de temps.,Molt poc temps (normalment accepto la primera resposta que dona).,Molt segur de mi mateix,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.","Sí, de tant en tant.","Sí, de tant en tant.","Ansietat, Curiositat, Escepticisme",Ho proves després d'escoltar coses bones d'amics o companys de feina.,Unes quantes vegades a la setmana,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,D'acord,D'acord,D'acord,D'acord,D'acord,En desacord,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,D'acord,D'acord,D'acord,D'acord,D'acord,D'acord
27/03/2026 16:55:56,Espanya,Home,2n any,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Diari,"Fer pluja d'idees i trobar inspiració, Resum de documents o articles llargs, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Ajudar amb els deures / Planificació de classes, Generació d'imatges o presentacions","El llegeixo per comprovar errors greus, però el mantinc gairebé intacte.",La IA i jo hauríem produït un resultat similar.,"Enriqueix la meva obra (em dóna idees que no hauria tingut), però em porta aproximadament el mateix temps.",Un temps moderat (demano alguns ajustos o refinaments).,Molt segur de mi mateix,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.","Sí, de tant en tant.",Mai no havia prestat atenció a aquest aspecte.,Curiositat,Ho proves després d'escoltar coses bones d'amics o companys de feina.,Rarament,Un motor de cerca intel·ligent (per trobar informació ràpidament i amb precisió).,D'acord,En desacord,D'acord,Totalment en desacord,En desacord,D'acord,D'acord,Gens preocupat,Molt preocupat,Molt preocupat,Moderadament preocupat,Moderadament preocupat,No hi estic gens d'acord,D'acord,En desacord,D'acord,En desacord,D'acord
27/03/2026 16:55:56,Espanya,Home,2n any,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades a la setmana,"Fer pluja d'idees i trobar inspiració, Resum de documents o articles llargs, Ajudar amb els deures / Planificació de classes, Generació d'imatges o presentacions","El llegeixo per comprovar errors greus, però el mantinc gairebé intacte.",La IA i jo hauríem produït un resultat similar.,"Enriqueix la meva obra (em dóna idees que no hauria tingut), però em porta aproximadament el mateix temps.",Un temps moderat (demano alguns ajustos o refinaments).,Una mica segur de si mateix,Li pregunto a la IA si està segura de la resposta.,"Sí, sovint.","Sí, de tant en tant.","Curiositat, Esperança",Ho proves després d'escoltar coses bones d'amics o companys de feina.,Unes quantes vegades a la setmana,Un tutor/mentor personal (per explicar conceptes i ajudar-me a aprendre).,D'acord,D'acord,D'acord,D'acord,D'acord,D'acord,D'acord,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,D'acord,D'acord,D'acord,D'acord,D'acord,D'acord
27/03/2026 16:55:52,Espanya,Home,2n any,"4 - Avançat: Utilitzo regularment eines d'IA per a diverses tasques i tinc un bon coneixement de les seves capacitats, límits i possibles biaixos.",Unes quantes vegades al mes,Buscar informacio,"El llegeixo per comprovar errors greus, però el mantinc gairebé intacte.",La IA i jo hauríem produït un resultat similar.,És un gran estalvi de temps.,Un temps moderat (demano alguns ajustos o refinaments).,Una mica segur de si mateix,Li pregunto a la IA si està segura de la resposta.,"Sí, de tant en tant.","No, mai.",Curiositat,Ho proves després d'escoltar coses bones d'amics o companys de feina.,Unes quantes vegades a la setmana,Un tutor/mentor personal (per explicar conceptes i ajudar-me a aprendre).,Totalment d'acord,D'acord,D'acord,Totalment en desacord,En desacord,D'acord,D'acord,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,D'acord,En desacord,D'acord,D'acord,D'acord,D'acord
