Timestamp,1. Country,2. Gender,3. Grade/Year of Study,4. Self-Assessed Knowledge,2.1 Frequency of Use,2.2 Primary Use Cases,2.2.1 Output Reworking (Human-AI Teaming),2.2.2 Quality Perception,2.2.3 Efficiency and Value,2.2.4 Interaction Effort (Prompting),2.3 Confidence in Detection (Media Literacy),2.3.1 Fact-Checking Habits,2.3.2 Awareness of Hallucinations,2.3.3 Awareness of Bias,2.4 General Feeling,DS1.1 Technology Adoption Profile,DS1.2 Specific Frequency of Use,DS1.3 AI Perception,DS1.5 Guidelines on AI,"DS2.1 AI tools truly ""understand"" the meaning of the text they generate.","DS2.2 The information provided by AI is generally neutral, objective, and unbiased.",DS2.3 I think AI is inherently smarter and more capable than human beings.,DS2.4 I usually trust the factual accuracy of AI-generated answers without feeling the need to double-check other sources.,DS2.5 I clearly understand how a GenAI assistant generates its responses.,DS2.6 The way I request something to AI doesn’t have any impact on the quality of the result produced,DS3.1 Teachers will unfairly accuse me of using AI for my assignments even when I do not.,DS3.2 Using AI to do my homework will make me lose the ability to think critically and learn independently.,"DS3.3 The difficulty of distinguishing between human-created and AI-generated content (e.g., fake news, deepfakes).","DS3.5 AI tools might reinforce existing social biases and discrimination (e.g., gender, race, cultural stereotypes).",DS3.6 Unequal access to premium (paid) AI tools will create unfair advantages among students.,DS3.8 I worry that relying on AI to produce high-quality work makes me feel less capable or smart when I have to complete similar tasks on my own.,"DS4.1 I expect AI to significantly speed up my daily study/work tasks, making me more efficient.",DS4.2 I believe AI can perfectly tailor learning materials to match the individual learning pace and style of each student.,DS4.3 I expect AI to make learning more accessible and inclusive for students with diverse cognitive needs or language barriers.,DS4.4 I see AI as a non-judgmental tutor that is available 24/7 to answer my questions without making me feel inadequate.,DS4.5 I expect AI to provide better guidance for my future university or career choices than traditional school counselling.,Source Language
01/04/2026 11:40:40,Italy,Male,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.",I have never paid attention to this aspect.,Enthusiasm,You try it out after hearing good things from friends or colleagues.,Daily,A smart search engine (to find information quickly and accurately).,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Slightly concerned,Not at all concerned,Not at all concerned,Moderately concerned,Not at all concerned,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,it
01/04/2026 11:37:14,Italy,Female,1st year,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",Daily,"Summarizing long documents or articles, Generating images or presentations, Other (Spesso uso l’intelligenza artificiale per farmi sp)",I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Very confident,I trust it completely and use it as is.,"No, never.",I have never paid attention to this aspect.,"Curiosity, Hope",You try it out after hearing good things from friends or colleagues.,Daily,A personal tutor/mentor (to explain concepts and help me learn).,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Extremely concerned,Not at all concerned,Moderately concerned,Not at all concerned,Extremely concerned,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,it
01/04/2026 11:37:07,Italy,Male,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Rarely,"Brainstorming ideas and getting inspiration, Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",Very little time (I usually accept the first answer it provides).,Very confident,I ask the AI itself if it is sure about the answer.,"No, never.","Yes, occasionally.","Curiosity, Hope, Skepticism",You are one of the first to try it out.,A few times a week,A shortcut (to do the heavy lifting or do my assignments for me).,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Not at all concerned,Slightly concerned,Slightly concerned,Not at all concerned,Not at all concerned,Agree,Disagree,Agree,Agree,Disagree,Disagree,it
01/04/2026 11:36:57,Italy,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,Curiosity,You wait until it becomes mainstream and most people are using it.,A few times a month,A smart search engine (to find information quickly and accurately).,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Very concerned,Very concerned,Moderately concerned,Very concerned,Not at all concerned,Disagree,Agree,Disagree,Agree,Agree,Disagree,it
01/04/2026 11:36:41,Italy,Female,1st year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Never,"Translating texts or learning a language, Generating images or presentations, I do not use AI tools","I read it to check for major errors, but keep it mostly intact.","The AI's output was poor/incorrect, and I had to redo most of it.",It is a waste of time (I spend more time prompting and correcting than doing it myself).,It takes so much time that sometimes I just give up and do the work myself.,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","No, never.","Anxiety, Skepticism, Suspicion",You wait until it becomes mainstream and most people are using it.,Never,An entertainment tool (just for fun).,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Moderately concerned,Extremely concerned,Very concerned,Moderately concerned,Extremely concerned,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,it
01/04/2026 11:36:28,Italy,Female,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.","Curiosity, Skepticism, Enthusiasm",You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Very concerned,Moderately concerned,Moderately concerned,Very concerned,Very concerned,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,it
01/04/2026 11:34:42,Italy,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Helping with homework / Lesson planning","I read it to check for major errors, but keep it mostly intact.",The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Suspicion, Other (indifference)",You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Slightly concerned,Moderately concerned,Not at all concerned,Slightly concerned,Not at all concerned,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,it
01/04/2026 11:34:39,Italy,Female,1st year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",A few times a week,"Translating texts or learning a language, Solving math/logic problems or coding",I only use AI to review or correct content I have entirely written myself.,"My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.","Yes, occasionally.","Curiosity, Fear",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Moderately concerned,Extremely concerned,Extremely concerned,Not at all concerned,Slightly concerned,Agree,Agree,Agree,Agree,Strongly Agree,Agree,it
01/04/2026 11:34:08,Italy,Male,1st year,"2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Never,I do not use AI tools,"I read it to check for major errors, but keep it mostly intact.",The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.","No, never.",Curiosity,You only use it if it is strictly required for school or work.,Never,A smart search engine (to find information quickly and accurately).,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Slightly concerned,Moderately concerned,Moderately concerned,Not at all concerned,Not at all concerned,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,it
01/04/2026 11:33:51,Italy,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Summarizing long documents or articles, Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Curiosity, Hope",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Very concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,it
