Timestamp,1. País,2. Gènere ,3. Grup d'edat,4. Anys d'experiència docent,5. Matèria Principal Impartida,6. Fins a quin punt et consideres expert en Intel·ligència Artificial?,"2.1 Amb quina freqüència utilitzeu actualment eines d'IA generativa (per exemple, ChatGPT, Claude, Gemini, Midjourney)?",2.2 Quines són les tasques principals per a les quals utilitzes la IA? (Selecciona fins a 3),"2.2.1 Quan generes text o contingut utilitzant IA, com gestiones normalment el resultat?",2.2.2 Com avalues normalment la qualitat dels resultats generats per IA en comparació amb el que podries haver fet pel teu compte?,"2.2.3 En general, com afecta l'ús de la IA el temps i l'esforç necessaris per a les teves tasques?","2.2.4 Quant de temps i esforç dediqueu habitualment a interactuar amb la IA (per exemple, reescriure prompts, demanar ajustos) per obtenir un resultat satisfactori?",2.3 Quina confiança tens en la teva capacitat per distingir un text o imatge creat per una persona d'un generat per IA?,"2.3.1 Quan una eina d'IA et proporciona nova informació històrica, científica o factual, què fas habitualment?","2.3.2 Has vist mai una eina d'IA que inventa completament una font, fet o nom que sona extremadament convincent però que en realitat és fals?","2.3.3 Has notat mai que les imatges o textos generats per IA tendeixen a reflectir estereotips culturals o de gènere (per exemple, retratar metges principalment com a homes i infermeres com a dones)?","2.4 Quan penses en la integració de la IA a l'escola i l'educació, quins dels següents sentiments predominen? (Selecciona fins a 3)",DT1.1 Quan es llança una nova tecnologia digital:,DT1.2 Amb quina freqüència utilitzeu eines d'IA generativa específicament per a tasques relacionades amb l'escola o la feina?,DT1.3 Veus la IA principalment com:,"DT1.4 Crec que tinc les estratègies pedagògiques adequades per integrar la IA a les meves classes d'una manera que realment millori l'aprenentatge, en lloc de només actuar com una drecera",DT1.5 La meva escola ofereix directrius clares i suport sobre com utilitzar la IA a l'aula.,"DT2 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions sobre com funciona la Intel·ligència Artificial. [Les eines d'IA realment ""entenen"" el significat del text que generen. ]","DT2 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions sobre com funciona la Intel·ligència Artificial. [La informació proporcionada per la IA és generalment neutral, objectiva i imparcial.]","DT2 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions sobre com funciona la Intel·ligència Artificial. [Crec que la IA és inherentment més intel·ligent i capaç que els éssers humans.]","DT2 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions sobre com funciona la Intel·ligència Artificial. [Normalment confio en l'exactitud factual de les respostes generades per IA sense sentir la necessitat de comprovar altres fonts.]","DT2 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions sobre com funciona la Intel·ligència Artificial. [Entenc perfectament com un assistent GenAI genera les seves respostes.]","DT2 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions sobre com funciona la Intel·ligència Artificial. [La manera com demano alguna cosa a la IA no afecta la qualitat del resultat produït]",DT3 Quina preocupació tens per les possibles conseqüències de l'ús de la IA en l'educació? [L'ús generalitzat de la IA fa impossible avaluar amb precisió l'aprenentatge real i les capacitats dels estudiants.],"DT3 Quina preocupació tens per les possibles conseqüències de l'ús de la IA en l'educació? [Confiar en la IA reduirà les habilitats de pensament crític, creativitat i resolució de problemes dels estudiants.]","DT3 Quina preocupació tens per les possibles conseqüències de l'ús de la IA en l'educació? [La dificultat de distingir entre contingut creat per humans i generat per IA (per exemple, notícies falses, deepfakes).]","DT3 Quina preocupació tens per les possibles conseqüències de l'ús de la IA en l'educació? [Com les plataformes d'IA recullen, utilitzen i emmagatzemen les dades personals i les entrades dels meus estudiants.]","DT3 Quina preocupació tens per les possibles conseqüències de l'ús de la IA en l'educació? [Les eines d'IA podrien reforçar els biaixos socials i la discriminació existents (per exemple, gènere, raça, estereotips culturals).]",DT3 Quina preocupació tens per les possibles conseqüències de l'ús de la IA en l'educació? [L'accés desigual a eines d'IA premium (de pagament) crearà avantatges injustos entre els estudiants.],DT3.7 La pressió constant d'aprenentatge per estar al dia amb les noves eines digitals i d'IA em genera estrès i ansietat.,DT3.8 Em preocupa que dependre de la IA per produir feina d'alta qualitat em faci sentir menys capaç o intel·ligent quan he de fer tasques similars pel meu compte.,"DT4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Espero que la IA acceleri significativament les meves tasques diàries d'estudi i feina, fent-me més eficient.]","DT4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Crec que la IA pot adaptar perfectament els materials d'aprenentatge per adaptar-los al ritme i estil individual de cada alumne.]","DT4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Espero que la IA faci que l'aprenentatge sigui més accessible i inclusiu per a estudiants amb necessitats cognitives diverses o barreres lingüístiques.]","DT4 Si us plau, indiqui el vostre grau d'acord amb les següents afirmacions respecte a les vostres expectatives per a la Intel·ligència Artificial.  [Espero que la IA s'encarregui de les tasques administratives i de correcció, alliberant el meu temps per centrar-me més en la interacció humana i el mentoratge.]"
27/03/2026 07:22:00,Espanya,Home,51-60,Més de 25 anys,Formació professional,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades al mes,"Fer pluja d'idees i trobar inspiració, Escriptura/redacció de textos (correus electrònics, assaigs, informes)",Reviso la sortida generada per IA per identificar possibles errors i refinar el text segons calgui.,La IA i jo hauríem produït un resultat similar.,És un gran estalvi de temps.,"Una quantitat significativa de temps (mantinc converses llargues, anant i venint fins que el resultat és perfecte).",Una mica segur de si mateix,Comprovo sistemàticament les fonts primàries i autoritàries per confirmar les dades.,"Sí, de tant en tant.","Sí, de tant en tant.","Curiositat, Esperança, Entusiasme",Ets un dels primers a provar-ho.,Unes quantes vegades al mes,Una drecera (per fer la feina pesada o fer les meves tasques per mi).,No estic d'acord,D'acord,Totalment en desacord,En desacord,En desacord,En desacord,En desacord,Totalment d'acord,Molt preocupat,Molt preocupat,Extremadament preocupat,Molt preocupat,Molt preocupat,Molt preocupat,No estic d'acord,No estic d'acord,D'acord,D'acord,D'acord,D'acord
27/03/2026 12:40:34,Espanya,Femení,41-50,6-15 anys,Formació professional,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades al mes,Ajudar amb els deures / Planificació de classes,L'utilitzo com a esborrany o inspiració i el reescric molt.,"El meu treball original hauria estat millor, però la IA era més ràpida.",És un gran estalvi de temps.,Un temps moderat (demano alguns ajustos o refinaments).,Una mica segur de si mateix,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.","Sí, de tant en tant.","Sí, sovint.","Ansietat, Curiositat, Escepticisme",Esperes fins que es faci mainstream i la majoria de gent l'utilitzi.,Unes quantes vegades al mes,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,No estic d'acord,En desacord,En desacord,En desacord,D'acord,D'acord,Totalment en desacord,Moderadament preocupat,Molt preocupat,Molt preocupat,Molt preocupat,Moderadament preocupat,Lleugerament preocupat,No estic d'acord,No estic d'acord,D'acord,D'acord,D'acord,En desacord
27/03/2026 12:46:36,Espanya,Femení,51-60,6-15 anys,Formació professional,"2 - Novell: Conec els conceptes bàsics i he vist eines d'IA, però rarament o mai les faig servir.",Unes quantes vegades a la setmana,"Fer pluja d'idees i trobar inspiració, Resum de documents o articles llargs, Generació d'imatges o presentacions",L'utilitzo com a esborrany o inspiració i el reescric molt.,La IA i jo hauríem produït un resultat similar.,És un gran estalvi de temps.,"Una quantitat significativa de temps (mantinc converses llargues, anant i venint fins que el resultat és perfecte).",No estic gaire segur,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.","Sí, de tant en tant.","Sí, sovint.","Curiositat, Por, Entusiasme",Ho proves després d'escoltar coses bones d'amics o companys de feina.,Unes quantes vegades al mes,Una drecera (per fer la feina pesada o fer les meves tasques per mi).,No hi estic gens d'acord,No estic d'acord,Totalment en desacord,En desacord,Totalment en desacord,Totalment en desacord,En desacord,Totalment en desacord,Moderadament preocupat,Extremadament preocupat,Extremadament preocupat,Molt preocupat,Extremadament preocupat,Extremadament preocupat,No estic d'acord,No hi estic gens d'acord,D'acord,En desacord,D'acord,D'acord
27/03/2026 12:48:47,Espanya,Femení,41-50,0-5 anys,Formació professional,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades a la setmana,"Fer pluja d'idees i trobar inspiració, Ajudar amb els deures / Planificació de classes",Reviso la sortida generada per IA per identificar possibles errors i refinar el text segons calgui.,"El meu treball original hauria estat millor, però la IA era més ràpida.",És un gran estalvi de temps.,Un temps moderat (demano alguns ajustos o refinaments).,Molt segur de mi mateix,Comprovo sistemàticament les fonts primàries i autoritàries per confirmar les dades.,"Sí, de tant en tant.","Sí, de tant en tant.",Curiositat,Ho proves després d'escoltar coses bones d'amics o companys de feina.,Unes quantes vegades a la setmana,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,D'acord,Totalment d'acord,D'acord,En desacord,En desacord,D'acord,Totalment en desacord,Molt preocupat,Extremadament preocupat,Moderadament preocupat,Molt preocupat,Moderadament preocupat,Moderadament preocupat,No estic d'acord,No estic d'acord,D'acord,D'acord,D'acord,D'acord
27/03/2026 13:40:00,Espanya,Femení,41-50,16-25 anys,Formació professional,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades a la setmana,"Fer pluja d'idees i trobar inspiració, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Ajudar amb els deures / Planificació de classes, Generació d'imatges o presentacions",Reviso la sortida generada per IA per identificar possibles errors i refinar el text segons calgui.,La IA i jo hauríem produït un resultat similar.,"Enriqueix la meva obra (em dona idees que no hauria tingut), però em porta aproximadament el mateix temps.",Un temps moderat (demano alguns ajustos o refinaments).,No estic gaire segur,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.",No sabia que la IA podia fer això.,"Sí, sovint.","Por, Esperança, Escepticisme",Ho proves després d'escoltar coses bones d'amics o companys de feina.,Unes quantes vegades a la setmana,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,No estic d'acord,En desacord,En desacord,Totalment en desacord,D'acord,En desacord,Totalment en desacord,Lleugerament preocupat,Molt preocupat,Molt preocupat,Molt preocupat,Molt preocupat,Molt preocupat,No estic d'acord,No estic d'acord,D'acord,D'acord,D'acord,D'acord
27/03/2026 16:48:22,Espanya,Femení,51-60,16-25 anys,Formació professional,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades al mes,"Fer pluja d'idees i trobar inspiració, Resum de documents o articles llargs, Generació d'imatges o presentacions",L'utilitzo com a esborrany o inspiració i el reescric molt.,"El meu treball original hauria estat millor, però la IA era més ràpida.","Enriqueix la meva obra (em dona idees que no hauria tingut), però em porta aproximadament el mateix temps.",Un temps moderat (demano alguns ajustos o refinaments).,No estic gaire segur,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.","Sí, de tant en tant.","Sí, sovint.","Curiositat, Esperança, Entusiasme",Ets un dels primers a provar-ho.,Unes quantes vegades al mes,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,No estic d'acord,En desacord,En desacord,En desacord,En desacord,D'acord,Totalment d'acord,Gens preocupat,Extremadament preocupat,Extremadament preocupat,Extremadament preocupat,Extremadament preocupat,Moderadament preocupat,No hi estic gens d'acord,No hi estic gens d'acord,Totalment d'acord,D'acord,D'acord,Totalment d'acord
27/03/2026 19:47:05,Espanya,Femení,51-60,16-25 anys,"STEM (Matemàtiques, Ciències, Informàtica)",3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Unes quantes vegades al mes,Fer pluja d'idees i trobar inspiració,L'utilitzo com a esborrany o inspiració i el reescric molt.,"El meu treball original hauria estat millor, però la IA era més ràpida.",És un gran estalvi de temps.,Un temps moderat (demano alguns ajustos o refinaments).,No estic gaire segur,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.","Sí, de tant en tant.","Sí, de tant en tant.",Curiositat,Ho proves després d'escoltar coses bones d'amics o companys de feina.,Rarament,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,No estic d'acord,Totalment en desacord,Totalment en desacord,Totalment en desacord,Totalment en desacord,Totalment en desacord,Totalment en desacord,Molt preocupat,Molt preocupat,Molt preocupat,Molt preocupat,Molt preocupat,Molt preocupat,No estic d'acord,D'acord,D'acord,D'acord,D'acord,D'acord
28/03/2026 08:05:34,Espanya,Home,30-40,0-5 anys,Esport,"4 - Avançat: Utilitzo regularment eines d'IA per a diverses tasques i tinc un bon coneixement de les seves capacitats, límits i possibles biaixos.",Diari,"Escriptura/redacció de textos (correus electrònics, assaigs, informes), Resolució de problemes de matemàtiques/lògica o programació, Ajudar amb els deures / Planificació de classes, Generació d'imatges o presentacions",Reviso la sortida generada per IA per identificar possibles errors i refinar el text segons calgui.,La IA va obtenir un resultat molt millor del que jo podria tenir.,És un gran estalvi de temps.,Un temps moderat (demano alguns ajustos o refinaments).,Una mica segur de si mateix,Comprovo sistemàticament les fonts primàries i autoritàries per confirmar les dades.,"Sí, de tant en tant.","No, mai.",Curiositat,Ho proves després d'escoltar coses bones d'amics o companys de feina.,Diari,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,D'acord,D'acord,D'acord,D'acord,D'acord,D'acord,D'acord,Gens preocupat,Lleugerament preocupat,Lleugerament preocupat,Extremadament preocupat,Molt preocupat,Molt preocupat,No estic d'acord,No estic d'acord,Totalment d'acord,Totalment d'acord,Totalment d'acord,Totalment d'acord
28/03/2026 18:07:49,Espanya,Home,30-40,6-15 anys,Formació professional,"4 - Avançat: Utilitzo regularment eines d'IA per a diverses tasques i tinc un bon coneixement de les seves capacitats, límits i possibles biaixos.",Diari,"Fer pluja d'idees i trobar inspiració, Traduir textos o aprendre una llengua, Resum de documents o articles llargs, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Resolució de problemes de matemàtiques/lògica o programació, Generació d'imatges o presentacions",L'utilitzo com a esborrany o inspiració i el reescric molt.,La IA i jo hauríem produït un resultat similar.,És un gran estalvi de temps.,"Una quantitat significativa de temps (mantinc converses llargues, anant i venint fins que el resultat és perfecte).",Molt segur de mi mateix,Comprovo sistemàticament les fonts primàries i autoritàries per confirmar les dades.,"Sí, de tant en tant.","Sí, de tant en tant.","Emoció, Curiositat, Por",Ets un dels primers a provar-ho.,Diari,Un assistent/col·laborador creatiu (per fer pluja d'idees i co-crear).,D'acord,No hi estic gens d'acord,Totalment en desacord,En desacord,Totalment en desacord,En desacord,Totalment d'acord,Totalment en desacord,Moderadament preocupat,Moderadament preocupat,Moderadament preocupat,Extremadament preocupat,Molt preocupat,Extremadament preocupat,No hi estic gens d'acord,No hi estic gens d'acord,D'acord,Totalment d'acord,Totalment d'acord,Totalment d'acord
30/03/2026 09:57:32,Espanya,Femení,41-50,16-25 anys,Formació professional,3 - Intermedi: Utilitzo algunes eines d'IA de tant en tant per a tasques senzilles i entenc les seves funcions bàsiques.,Diari,"Fer pluja d'idees i trobar inspiració, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Generació d'imatges o presentacions",Reviso la sortida generada per IA per identificar possibles errors i refinar el text segons calgui.,La IA va obtenir un resultat molt millor del que jo podria tenir.,És un gran estalvi de temps.,Un temps moderat (demano alguns ajustos o refinaments).,No estic gaire segur,"Faig una cerca ràpida (per exemple, Google, Viquipèdia) per verificar-ho.","Sí, de tant en tant.","Sí, de tant en tant.","Curiositat, Por, Sospita",Ho proves després d'escoltar coses bones d'amics o companys de feina.,Unes quantes vegades al mes,Una drecera (per fer la feina pesada o fer les meves tasques per mi).,D'acord,D'acord,En desacord,D'acord,En desacord,En desacord,D'acord,Totalment d'acord,Moderadament preocupat,Moderadament preocupat,Molt preocupat,Molt preocupat,Molt preocupat,Molt preocupat,No estic d'acord,No estic d'acord,D'acord,D'acord,D'acord,D'acord
