0. Timestamp,1. Country,2. Gender,3. Age Group,4. Years of Teaching Experience,5. Main Subject Taught,6. Self-Assessed Knowledge: How knowledgeable do you consider yourself about Artificial Intelligence?,2.1 Frequency of Use: How often do you currently use Generative AI tools?,2.2 Primary Use Cases: What are the main tasks you use AI for?,"2.2.1 Output Reworking: When you generate text or content using AI, how do you typically handle the output?",2.2.2 Quality Perception: How do you usually evaluate the quality of the AI-generated output compared to what you could have done on your own?,"2.2.3 Efficiency and Value: Overall, how does using AI affect the time and effort required for your tasks?",2.2.4 Interaction Effort (Prompting): How much time and effort do you usually spend interacting with the AI to get a satisfactory result?,2.3 Confidence in Detection: How confident are you in your ability to distinguish a text or image created by a human from one generated by AI?,"2.3.1 Fact-Checking Habits: When an AI tool provides you with new historical, scientific, or factual information, what do you usually do?","2.3.2 Awareness of Hallucinations: Have you ever noticed an AI tool completely inventing a source, fact, or name that sounded extremely convincing but was actually fake?",2.3.3 Awareness of Bias: Have you ever noticed that AI-generated images or texts tend to reflect cultural or gender stereotypes?,"2.4 General Feeling: When you think about the integration of AI in school and education, which of the following feelings prevail?",DT1.1 Technology Adoption Profile: When a new digital technology is released,DT1.2 Specific Frequency of Use: How often do you use Generative AI tools specifically for school-related or work-related tasks?,DT1.3 AI Perception: You see AI primarily as,"DT1.4 I feel I possess the right pedagogical strategies to integrate AI into my lessons in a way that truly enhances learning, rather than just acting as a shortcut",DT1.5 Guidelines on AI: My school provides clear guidelines and support on how to use AI in the classroom.,"DT2.1 AI tools truly ""understand"" the meaning of the text they generate.","DT2.2 The information provided by AI is generally neutral, objective, and unbiased.",DT2.3 I think AI is inherently smarter and more capable than human beings.,DT2.4 I usually trust the factual accuracy of AI-generated answers without feeling the need to double-check other sources.,DT2.5 I clearly understand how a GenAI assistant generates its responses.,DT2.6 The way I request something to AI doesn’t have any impact on the quality of the result produced,DT3.1 The widespread use of AI makes it impossible to assess students' real learning and capabilities accurately.,"DT3.2 Relying on AI will reduce students' critical thinking, creativity, and problem-solving skills.","DT3.3 The difficulty of distinguishing between human-created and AI-generated content (e.g., fake news, deepfakes).","DT3.4 How AI platforms collect, use, and store the personal data and inputs of my students.","DT3.5 AI tools might reinforce existing social biases and discrimination (e.g., gender, race, cultural stereotypes).",DT3.6 Unequal access to premium (paid) AI tools will create unfair advantages among students.,DT3.7 The constant learning pressure to keep up with new digital and AI tools causes me stress and anxiety.,DT3.8 I worry that relying on AI to produce high-quality work makes me feel less capable or smart when I have to complete similar tasks on my own.,"DT4.1 I expect AI to significantly speed up my daily study/work tasks, making me more efficient.",DT4.2 I believe AI can perfectly tailor learning materials to match the individual learning pace and style of each student.,DT4.3 I expect AI to make learning more accessible and inclusive for students with diverse cognitive needs or language barriers.,"DT4.4. I expect AI to take over administrative and grading tasks, freeing up my time to focus more on human interaction and mentoring."
,Italy,Female,Under 30,0-5 years,"STEM (Math, Science, IT)",1 - Absolute Beginner: I know almost nothing. I have heard the term but don't really know what it is or how to use it.,Never,Brainstorming ideas and getting inspiration,I copy and paste it directly without reading it thoroughly.,The AI produced a much better result than I could have.,It is a huge time saver.,Very little time (I usually accept the first answer it provides).,Not at all confident,I trust it completely and use it as is.,I didn't know AI could do that.,I have never paid attention to this aspect.,Excitement,You are one of the first to try it out.,Never,A smart search engine (to find information quickly and accurately).,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Strongly disagree,Strongly disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
,Spain,Male,30-40,6-15 years,"Humanities (Literature, History, Philosophy)","2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",Rarely,Translating texts or learning a language,"I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I ask the AI itself if it is sure about the answer.,"No, never.","No, never.",Anxiety,You try it out after hearing good things from friends or colleagues.,Rarely,A personal tutor/mentor (to explain concepts and help me learn).,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
,Slovenia,Non-binary,41-50,16-25 years,Languages,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,Summarizing long documents or articles,I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.",Curiosity,You wait until it becomes mainstream and most people are using it.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Agree,Agree,Agree,Agree,Agree,Agree
,Germany,Prefer not to say,51-60,Over 25 years,Arts & Music,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Writing/drafting text (emails, essays, reports)",I use it as a draft or inspiration and rewrite it heavily.,"The AI's output was poor/incorrect, and I had to redo most of it.",It is a waste of time (I spend more time prompting and correcting than doing it myself).,It takes so much time that sometimes I just give up and do the work myself.,Very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","Yes, frequently.",Fear,You only use it if it is strictly required for school or work.,A few times a week,A shortcut (to do the heavy lifting or do my assignments for me).,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
,Turkey,,Over 60,,Vocational/Technical,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",Daily,Solving math/logic problems or coding,I only use AI to review or correct content I have entirely written myself.,,,,,,,,Hope,,Daily,An entertainment tool (just for fun).,,,,,,,,,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,,,,,,
,Other: ______,,,,Other: ______,,,Helping with homework / Lesson planning,,,,,,,,,Skepticism,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Generating images or presentations,,,,,,,,,Enthusiasm,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,I do not use AI tools,,,,,,,,,Suspicion,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Other _______,,,,,,,,,Other: _____,,,,,,,,,,,,,,,,,,,,,,,
