0. Timestamp,1.  Država,2.  Spol,3.  Starostna skupina,4. Leta pedagoških izkušenj,5. Glavni predmet poučevanja,6. Kako bi opredelili svojo raven znanja s področja umetne inteligence?,2.1 Kako pogosto uporabljate generativno UI?,2.2 Pri katerih nalogah najpogosteje uporabljate umetno inteligenco? (Izberite do tri odgovore.),"2.2.1  Kako običajno ravnate z izhodnimi podatki, ko ustvarjate besedilo ali vsebino z umetno inteligenco?","2.2.2 Kako običajno ocenjujete kakovost rezultatov, ki jih ustvari umetna inteligenca, v primerjavi s tem, kar bi lahko naredili sami?","2.2.3 Kako uporaba umetne inteligence na splošno vpliva na čas in trud, potreben za vaše naloge?","2.2.4  Koliko časa in truda običajno porabite za interakcijo z umetno inteligenco (npr. prepisovanje pozivov, prošnje za prilagoditve), da dosežete zadovoljiv rezultat?","2.3 Kako prepričani ste v svojo sposobnost razlikovanja besedila ali slike, ki jo je ustvaril človek, od tiste, ki jo je ustvarila umetna inteligenca?","2.3.1 Kaj običajno storite, ko vam orodje umetne inteligence zagotovi nove zgodovinske, znanstvene ali dejanske informacije?","2.3.2 Ste že kdaj opazili, da si je orodje umetne inteligence popolnoma izmislilo vir, dejstvo ali ime, ki se je slišalo izjemno prepričljivo, a je bilo v resnici lažno?","2.3.3 Ste že kdaj opazili, da slike ali besedila, ki jih ustvari umetna inteligenca, običajno odražajo kulturne ali spolne stereotipe (npr. zdravniki so večinoma prikazani kot moški, medicinske sestre pa kot ženske)?","2.4 Ko razmišljate o integraciji umetne inteligence v šolo in izobraževanje, kateri od naslednjih občutkov prevladujejo? (Izberite do 3)",DT1.1 Profil sprejemanja tehnologije: Ko je izdana nova digitalna tehnologija:,"DT1.2 Specifična pogostost uporabe: Kako pogosto uporabljate orodja generativne umetne inteligence posebej za naloge, povezane s šolo ali delom?",DT1.3 Zaznavanje umetne inteligence: Umetno inteligenco vidite predvsem kot:,"DT1.4 Menim, da razpolagam z ustreznimi pedagoškimi strategijami za smiselno vključevanje umetne inteligence v pouk, ki dejansko prispeva k izboljšanju učenja in ne predstavlja zgolj bližnjice..","DT1.5 Smernice o umetni inteligenci: Moja šola zagotavlja jasne smernice in podporo o tem, kako uporabljati umetno inteligenco v razredu.","DT2.1 Orodja umetne inteligence resnično ""razumejo"" pomen besedila, ki ga ustvarijo.","DT2.2 Informacije, ki jih zagotavlja umetna inteligenca, so na splošno nevtralne, objektivne in nepristranske.","DT2.3 Mislim, da je umetna inteligenca sama po sebi pametnejša in sposobnejša od ljudi.","DT2.4 Običajno zaupam dejanski točnosti odgovorov, ki jih ustvari umetna inteligenca, ne da bi čutil potrebo po dvojnem preverjanju drugih virov.","DT2.5 Jasno razumem, kako asistent GenAI ustvarja svoje odgovore.","DT2.6 Način, kako nekaj zahtevam od umetne inteligence, nima nobenega vpliva na kakovost doseženega rezultata.",DT3.1 Zaradi široke uporabe umetne inteligence je nemogoče natančno oceniti dejanski nauk in sposobnosti dijakov in študentov.,"DT3.2 Zanašanje na umetno inteligenco bo zmanjšalo kritično mišljenje, ustvarjalnost in sposobnosti reševanja problemov dijakov in študentov.","DT3.3 Težave pri razlikovanju med vsebino, ki jo ustvari človek, in vsebino, ki jo ustvari umetna inteligenca (npr. lažne novice, ponaredki).","DT3.4 Kako platforme umetne inteligence zbirajo, uporabljajo in shranjujejo osebne podatke in vnose mojih dijakov in študentov.","DT3.5 Orodja umetne inteligence lahko okrepijo obstoječe družbene pristranskosti in diskriminacijo (npr. spol, rasa, kulturni stereotipi).",DT3.6 Neenak dostop do plačljivih orodij umetne inteligence bo ustvaril nepravične prednosti med dijaki in študenti.,DT3.7 Nenehen pritisk po učenju in sledenju novim digitalnim in AI orodjem povzroča pri meni stres in tesnobo.,"DT3.8 Skrbi me, da se zaradi zanašanja na umetno inteligenco za izdelavo visokokakovostnega dela počutim manj sposobnega ali pametnega, ko moram sam opravljati podobne naloge.","DT4.1 Pričakujem, da bo umetna inteligenca bistveno pospešila moje vsakodnevne študijske oziroma delovne naloge ter povečala mojo učinkovitost.","DT4.2 Verjamem, da lahko umetna inteligenca popolnoma prilagodi učna gradiva individualnemu tempu in učnemu slogu vsakega posameznega dijaka ali študenta.","DT4.3 Pričakujem, da bo umetna inteligenca omogočila bolj dostopno in vključujoče učenje za dijake in študente z različnimi kognitivnimi potrebami ali jezikovnimi ovirami.","DT4.4. Pričakujem, da bo umetna inteligenca prevzela administrativne naloge in ocenjevanje, kar mi bo omogočilo, da se bom lahko bolj posvetil/-a neposrednemu delu z ljudmi ter mentorstvu.."
,Italija,Ženski,Pod 30,0–5 let,"STEM (matematika, naravoslovje, IT)",1 – Popolni začetnik: skoraj nič ne vem.,Nikoli,Brainstorming idej (vihranje idej) in iskanje navdiha,"Kopiram in prilepim neposredno, ne da bi jih temeljito prebral.","Umetna inteligenca je ustvarila veliko boljši rezultat, kot bi ga lahko jaz.",Je ogromen prihranek časa.,"Zelo malo časa (običajno sprejmem prvi odgovor, ki ga ponudi).",Sploh nisem prepričan,"Popolnoma mu zaupam in ga uporabljam takšnega, kot je.","Nisem vedel/a, da umetna inteligenca to zmore.",Temu vidiku nisem nikoli posvečal/a pozornosti.,Navdušenje,"Ste eden prvih, ki jo preizkusi.",Nikoli,Pametni iskalnik (za hitro in natančno iskanje informacij).,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh me ne skrbi,Sploh me ne skrbi,Sploh me ne skrbi,Sploh me ne skrbi,Sploh me ne skrbi,Sploh me ne skrbi,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam,Sploh se ne strinjam
,Španija,Moški,30–40,6–15 let,"Družboslovje (književnost, zgodovina, filozofija)",2 – Začetnik: poznam osnovne koncepte.,Redko,Prevajanje besedil ali učenje jezika,"Preberem jih, da preverim morebitne napake, vendar jih večinoma ohranim nedotaknjene.",Z umetno inteligenco bi ustvarila podoben rezultat.,"Obogati moje delo (daje mi ideje, ki jih prej ne bi imel), vendar traja približno enako količino časa.",Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Ne zelo prepričan,"Vprašam umetno inteligenco, ali je prepričana o odgovoru.","Ne, nikoli.","Ne, nikoli.",Tesnoba,"Preizkusite jo, potem ko slišite dobre stvari od prijateljev ali sodelavcev.",Redko,Osebnega inštruktorja/mentorja (za razlago konceptov in pomoč pri učenju).,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Rahlo me skrbi,Rahlo me skrbi,Rahlo me skrbi,Rahlo me skrbi,Rahlo me skrbi,Rahlo me skrbi,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se
,Slovenija,Nebinaren,41–50,16–25 let,Jeziki,3 – Srednje: občasno uporabljam UI.,Nekajkrat mesečno,Povzemanje dolgih dokumentov ali člankov,"Pregledam izhodne podatke, ki jih ustvari umetna inteligenca, da ugotovim morebitne napake in po potrebi izboljšam besedilo.","Moje prvotno delo bi bilo boljše, vendar je bila umetna inteligenca hitrejša.",Nima pomembnega vpliva na moj čas ali trud.,"Precej časa (v dolgih pogovorih se pogovarjam, dokler rezultat ni popoln).",Nekoliko prepričan,"Na hitro poiščem (npr. Google, Wikipedia), da ga preverim.","Da, občasno.","Da, občasno.",Radovednost,"Počakate, da postane običajna in jo večina ljudi uporablja.",Nekajkrat na mesec,Kreativnega asistenta/sodelavca (za možgansko nevihto in soustvarjanje).,Strinjam se,Strinjam se,Strinjam se,Strinjam se,Strinjam se,Strinjam se,Strinjam se,Strinjam se,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Strinjam se,Strinjam se,Strinjam se,Strinjam se,Strinjam se,Strinjam se
,Nemčija,Ne želim odgovoriti,51–60,Nad 25 let,Umetnost in glasba,4 – Napredno: redno uporabljam UI.,Nekajkrat tedensko,"Pisanje/osnutek besedila (e-poštna sporočila, eseji, poročila)",Uporabljam jih kot osnutek ali navdih in jih močno prepišem.,Rezultat umetne inteligence je bil slab/napačen in večino sem moral ponoviti.,"Je izguba časa (več časa porabim za spodbujanje in popravljanje kot za to, da to počnem sam).",Včasih preprosto obupam in delo opravim sam.,Zelo prepričan,"Sistematično preverim primarne in verodostojne vire, da potrdim podatke.","Da, pogosto.","Da, pogosto.",Strah,"Uporabljate jo le, če je nujno potrebna za šolo ali delo.",Nekajkrat na teden,Bližnjico (za opravljanje težkega dela ali opravljanje nalog namesto mene).,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Zelo me skrbi,Zelo me skrbi,Zelo me skrbi,Zelo me skrbi,Zelo me skrbi,Zelo me skrbi,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Popolnoma se strinjam
,Turčija,,Nad 60,,Poklicno/tehnično izobraževanje,5 – Strokovnjak: poglobljeno razumem UI.,Dnevno,Reševanje matematičnih/logičnih problemov ali kodiranje,"Umetno inteligenco uporabljam le za pregled ali popravljanje vsebine, ki sem jo v celoti napisal sam.",,,,,,,,Upanje,,Vsak dan,Orodje za zabavo (samo za zabavo).,,,,,,,,,Izjemno me skrbi,Izjemno me skrbi,Izjemno me skrbi,Izjemno me skrbi,Izjemno me skrbi,Izjemno me skrbi,,,,,,
,Drugo: ______,,,,Drugo: ______,,,Pomoč pri domačih nalogah/načrtovanju učnih ur,,,,,,,,,Skepticizem,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ustvarjanje slik ali predstavitev,,,,,,,,,Navdušenje,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Drugo _______,,,,,,,,,Sumničavost,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ne uporabljam orodij umetne inteligence,,,,,,,,,Drugo: _____,,,,,,,,,,,,,,,,,,,,,,,
