0. Timestamp,1. Ülke,2. Cinsiyet,3. Yaş Grubu,4. Öğretmenlik Deneyimi (Yıl),5. Uzmanlık Alanı / Branş,6. Öz Değerlendirme Bilgi Düzeyi: Yapay Zeka hakkında kendinizi ne kadar bilgili görüyorsunuz?,"2.1 Kullanım Sıklığı: Üretken Yapay Zeka araçlarını (örn. ChatGPT, Claude, Gemini, Midjourney) ne sıklıkla kullanıyorsunuz?",2.2 Başlıca Kullanım Alanları: Yapay zekayı en çok hangi görevler için kullanıyorsunuz? (En fazla 3 seçenek belirleyin),"2.2.1 Yapay Zeka Çıktılarını Yeniden Düzenleme (İnsan-Yapay Zeka İş Birliği): Yapay zeka kullanarak bir metin veya içerik oluşturduğunuzda, çıktıyı genellikle nasıl yönetirsiniz?","2.2.2 Kalite Algısı: Yapay zeka tarafından oluşturulan çıktının kalitesini, kendi başınıza yapabileceğiniz iş ile kıyasladığınızda genellikle nasıl değerlendirirsiniz?","2.2.3 Verimlilik ve Değer: Genel olarak, yapay zeka kullanmak ödev ve görevleriniz için gereken zaman ve çabayı nasıl etkiliyor?","2.2.4 Etkileşim Çabası (Prompting/Komut Yazma): Tatmin edici bir sonuç almak için yapay zeka ile etkileşime (örneğin komutları yeniden yazmak, ayarlamalar istemek) genellikle ne kadar zaman ve çaba harcıyorsunuz?","2.3 Ayırt Etme Güveni (Medya Okuryazarlığı): İnsan tarafından oluşturulan bir metin veya görseli, yapay zeka tarafından oluşturulandan ayırt etme yeteneğinize ne kadar güveniyorsunuz?","2.3.1 Bilgi Doğrulama Alışkanlıkları: Bir yapay zeka aracı size yeni bir tarihi, bilimsel veya olgusal bilgi sunduğunda genellikle ne yaparsınız?","2.3.2 Halüsinasyon (Uydurma) Farkındalığı: Bir yapay zeka aracının son derece ikna edici görünen ancak aslında sahte olan bir kaynağı, gerçeği veya ismi tamamen uydurduğuna hiç rastladınız mı?","2.3.3 Yanlılık (Önyargı) Farkındalığı: Yapay zeka tarafından oluşturulan görsel veya metinlerin kültürel veya cinsiyet kalıplarını yansıttığını (örneğin doktorları çoğunlukla erkek, hemşireleri kadın olarak göstermesi gibi) hiç fark ettiniz mi?","2.4 Genel Duygular: Okulda ve eğitimde yapay zeka entegrasyonunu düşündüğünüzde, aşağıdaki duygulardan hangileri ağır basıyor? (En fazla 3 seçenek belirleyin)",DT1.1 Yeni Teknoloji Benimseme Profili: Yeni bir dijital teknoloji piyasaya sürüldüğünde:,DT1.2 Yapay Zeka Kullanım Sıklığı: Okul ile ilgili iş ve görevler için üretken yapay zekâ araçlarını ne sıklıkla kullanırsınız?,DT1.3 Yapay Zeka Algısı: Yapay zekâyı öncelikli olarak nasıl görüyorsunuz?,"DT1.4 Yapay zekayı, sadece bir kestirme yol (kolay yol) olarak değil, öğrenmeyi gerçekten geliştirecek şekilde derslerime entegre etmek için doğru pedagojik stratejilere sahip olduğumu hissediyorum.","DT1.5 Yapay Zeka Hakkında Kılavuzlar: Okulum, yapay zekanın sınıfta nasıl kullanılacağına dair net kılavuzlar ve destek sağlamaktadır.","DT2.1  Yapay Zeka (YZ) araçları ürettikleri metnin anlamını gerçekten ""anlar"".",DT2.2  YZ tarafından sağlanan bilgiler genellikle tarafsız ve nesneldir.,DT2.3  YZ'nin doğuştan insanlardan daha akıllı ve yetenekli olduğunu düşünüyorum.,"DT2.4  YZ yanıtlarının doğruluğuna, başka kaynakları kontrol etme ihtiyacı duymadan güvenirim.",DT2.5  Bir üretken YZ asistanının yanıtlarını nasıl oluşturduğunu net bir şekilde anlıyorum.,"DT2.6  YZ'den bir şey talep etme şeklim (prompt), sonucun kalitesini etkilemez.","DT3.1  Yapay Zeka (YZ) kullanımı, öğrencilerin gerçek öğrenmesini değerlendirmeyi imkansız hale getiriyor.",DT3.2  YZ'ye güvenmek öğrencilerin eleştirel düşünme ve yaratıcılık becerilerini azaltacaktır.,DT3.3  İnsan yapımı ve YZ yapımı içeriği (sahte haberler vb.) ayırt etme zorluğu.,DT3.4  YZ platformlarının öğrenci verilerini nasıl topladığı ve sakladığı.,DT3.5  YZ araçlarının toplumsal önyargıları pekiştirme riski.,"DT3.6  Ücretli YZ araçlarına erişim eşitsizliği, öğrenciler arasında haksız avantaj yaratacaktır.",DT3.7  YZ araçlarına ayak uydurma baskısı bende stres ve kaygıya neden oluyor.,"DT3.8  YZ'ye güvenmek, benzer görevleri kendi başıma yaparken kendimi daha az yetenekli hissetmeme neden oluyor.",DT4.1  Yapay Zekanın (YZ’nin) günlük çalışmalarımı/görevlerimi önemli ölçüde hızlandırmasını bekliyorum.,DT4.2  YZ'nin öğrenme materyallerini her öğrencinin hızına ve tarzına göre mükemmel şekilde uyarlayabileceğine inanıyorum.,DT4.3  YZ'nin öğrenmeyi farklı ihtiyaçları olan öğrenciler için daha erişilebilir ve kapsayıcı hale getirmesini bekliyorum.,DT4.4  YZ'nin idari ve notlandırma görevlerini üstlenerek bana mentorluk için zaman kazandırmasını bekliyorum.
,İtalya,Kadın,30 yaş altı,0-5 yıl,"STEM (Matematik, Fen Bilimleri, Bilişim)",Tamamen Başlangıç Seviyesi: Neredeyse hiçbir şey bilmiyorum. Terimi duydum ama ne olduğunu veya nasıl kullanıldığını bilmiyorum.,Hiçbir zaman,Fikir fırtınası yapmak ve ilham almak,Üretilen içeriği ayrıntılı şekilde incelemeden/okumadan doğrudan kopyalayıp yapıştırırım.,"Yapay zeka, benim yapabileceğimden çok daha iyi bir sonuç üretti.",Önem ölçüde zaman tasarrufu sağlıyor.,Çok az zaman harcarım (genellikle ilk verilen yanıtı kabul ederim).,Hiç güvenmiyorum,Ona tamamen güvenirim ve olduğu gibi kullanırım.,Yapay zekanın bunu yapabildiğini bilmiyordum.,Bu konuya hiç dikkat etmedim.,Heyecan,İlk deneyen kişilerden biri olurum.,Hiç,Akıllı bir arama motoru (bilgiye hızlı ve doğru şekilde ulaşmak için),Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle Katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Hiç endişeli değilim,Hiç endişeli değilim,Hiç endişeli değilim,Hiç endişeli değilim,Hiç endişeli değilim,Hiç endişeli değilim,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum,Kesinlikle katılmıyorum
,İspanya,Erkek,30-40,6-15 yıl,"Sosyal Bilimler (Edebiyat, Tarih, Felsefe)","Acemi: Temel kavramları biliyorum ve yapay zeka araçlarını gördüm, ancak kendim nadiren kullanıyorum veya hiç kullanmıyorum.",Nadiren,Metin çevirmek veya dil öğrenmek,Büyük hataları kontrol etmek için okurum ancak çoğunlukla olduğu gibi bırakırım.,Yapay zeka ile ben benzer bir sonuç üretirdik.,İşimi zenginleştiriyor (aklıma gelmeyecek fikirler veriyor) ancak aşağı yukarı aynı zamanı alıyor.,Orta düzeyde zaman harcarım (birkaç düzeltme veya iyileştirme talep ederim).,Pek güvenmiyorum,Cevabından emin olup olmadığını yapay zekâya sorarım.,"Hayır, hiçbir zaman.","Hayır, hiçbir zaman.",Kaygı,Arkadaşlarımın veya meslektaşlarımın olumlu geri bildirimlerinden sonra denerim.,Nadiren,Kişisel bir öğretmen/rehber (kavramları açıklayan ve öğrenmeme yardımcı olan),Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Biraz endişeliyim,Biraz endişeliyim,Biraz endişeliyim,Biraz endişeliyim,Biraz endişeliyim,Biraz endişeliyim,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum,Katılmıyorum
,Slovenya,Belirtmemeyi tercih ederim,41-50,16-25 yıl,Diller,Orta Seviye: Bazı yapay zeka araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Ayda birkaç kez,Uzun belgeleri veya makaleleri özetlemek,Olası hataları belirlemek için çıktıyı gözden geçiririm ve metni gerektiği gibi düzeltirim.,Benim orijinal çalışmam daha iyi olurdu ama yapay zeka daha hızlıydı.,Zamanım veya çabam üzerinde önemli bir etkisi yok.,Önemli ölçüde zaman harcarım (çıktı mükemmel olana kadar ileri geri uzun etkileşimlerde bulunurum/diyalog kurarım).,Biraz güveniyorum,"Doğrulamak için hızlı bir arama (örn. Google, Wikipedia) yaparım.","Evet, bazen.","Evet, bazen.",Merak,Yaygınlaşmasını ve çoğu insan tarafından kullanılmasını beklerim.,Ayda birkaç kez,Yaratıcı bir yardımcı/işbirlikçi (fikir üretmek ve birlikte içerik oluşturmak için),Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Orta derecede endişeliyim,Orta derecede endişeliyim,Orta derecede endişeliyim,Orta derecede endişeliyim,Orta derecede endişeliyim,Orta derecede endişeliyim,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum
,Almanya,,51-60,25 yıl üzeri,Sanat ve Müzik,"İleri Seviye: Yapay zeka araçlarını çeşitli görevler için düzenli olarak kullanıyorum; yetenekleri, sınırları ve potansiyel yanlılıkları hakkında iyi bir anlayışa sahibim.",Haftada birkaç kez,"Metin yazmak/taslak oluşturmak (e-posta, makale, rapor)",Taslak veya ilham kaynağı olarak kullanırım ve üzerinde büyük değişiklikler yaparak yeniden yazarım.,Yapay zekanın çıktısı zayıf/hatalıydı ve çoğunu yeniden yapmam gerekti.,"Zaman kaybı (komut yazmak ve düzeltmek için harcadığım süre, işi kendi başıma yapmamdan daha uzun sürüyor).",O kadar fazla zaman alır ki bazen vazgeçer ve işi kendim yaparım.,Çok güveniyorum,Verileri teyit etmek için sistematik olarak birincil ve güvenilir kaynakları kontrol ederim.,"Evet, sık sık.","Evet, sık sık.",Korku,Yalnızca okul veya iş için zorunlu olduğunda kullanırım.,Haftada birkaç kez,Bir kısayol (zor işleri benim yerime yapan veya ödevlerimi tamamlayan),Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Çok endişeliyim,Çok endişeliyim,Çok endişeliyim,Çok endişeliyim,Çok endişeliyim,Çok endişeliyim,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum,Kesinlikle katılıyorum
,Türkiye,,60 yaş üstü,,Mesleki/Teknik,"Uzman Seviyesi: Yapay zekanın nasıl çalıştığına dair derin bir anlayışa sahibim, kapsamlı bir şekilde kullanıyorum ve başkalarına bunu sorumlu bir şekilde nasıl kullanacaklarını rahatça öğretebilirim.",Her gün,Matematik/mantık problemlerini çözmek veya kod yazmak,Yapay zekayı yalnızca tamamen kendi yazdığım içeriği gözden geçirmek veya düzeltmek için kullanırım.,,,,,,,,Umut,,Günlük,Bir eğlence aracı (yalnızca eğlence amaçlı),,,,,,,,,Son derece endişeliyim,Son derece endişeliyim,Son derece endişeliyim,Son derece endişeliyim,Son derece endişeliyim,Son derece endişeliyim,,,,,,
,Diğer: ______,,,,Diğer: ______,,,Ödevlere yardımcı olmak / Ders planlaması,,,,,,,,,Şüphecilik,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Görsel veya sunum oluşturmak,,,,,,,,,Coşku,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Diğer _______,,,,,,,,,Kuşku,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Yapay zeka araçlarını kullanmıyorum,,,,,,,,,Diğer: _____,,,,,,,,,,,,,,,,,,,,,,,
