Timestamp,1.  Država,2.  Spol,3.  Starostna skupina,4. Leta pedagoških izkušenj,5. Glavni predmet poučevanja,6. Kako bi opredelili svojo raven znanja s področja umetne inteligence?,2.1 Kako pogosto uporabljate generativno UI?,2.2 Pri katerih nalogah najpogosteje uporabljate umetno inteligenco? (Izberite do tri odgovore.),"2.2.1  Kako običajno ravnate z izhodnimi podatki, ko ustvarjate besedilo ali vsebino z umetno inteligenco?","2.2.2 Kako običajno ocenjujete kakovost rezultatov, ki jih ustvari umetna inteligenca, v primerjavi s tem, kar bi lahko naredili sami?","2.2.3 Kako uporaba umetne inteligence na splošno vpliva na čas in trud, potreben za vaše naloge?","2.2.4  Koliko časa in truda običajno porabite za interakcijo z umetno inteligenco (npr. prepisovanje pozivov, prošnje za prilagoditve), da dosežete zadovoljiv rezultat?","2.3 Kako prepričani ste v svojo sposobnost razlikovanja besedila ali slike, ki jo je ustvaril človek, od tiste, ki jo je ustvarila umetna inteligenca?","2.3.1 Kaj običajno storite, ko vam orodje umetne inteligence zagotovi nove zgodovinske, znanstvene ali dejanske informacije?","2.3.2 Ste že kdaj opazili, da si je orodje umetne inteligence popolnoma izmislilo vir, dejstvo ali ime, ki se je slišalo izjemno prepričljivo, a je bilo v resnici lažno?","2.3.3 Ste že kdaj opazili, da slike ali besedila, ki jih ustvari umetna inteligenca, običajno odražajo kulturne ali spolne stereotipe (npr. zdravniki so večinoma prikazani kot moški, medicinske sestre pa kot ženske)?","2.4 Ko razmišljate o integraciji umetne inteligence v šolo in izobraževanje, kateri od naslednjih občutkov prevladujejo? (Izberite do 3)",DT1.1 Ko je izdana nova digitalna tehnologija:,"DT1.2 Kako pogosto uporabljate orodja generativne umetne inteligence posebej za naloge, povezane s šolo ali delom?",DT1.3 Umetno inteligenco vidite predvsem kot:,"DT1.4  Menim, da razpolagam z ustreznimi pedagoškimi strategijami za smiselno vključevanje umetne inteligence v pouk, ki dejansko prispeva k izboljšanju učenja in ne predstavlja zgolj bližnjice.","DT1.5  Moja šola zagotavlja jasne smernice in podporo o tem, kako uporabljati umetno inteligenco v razredu.","DT2 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami o delovanju umetne inteligence. [Orodja umetne inteligence resnično ""razumejo"" pomen besedila, ki ga ustvarijo.]","DT2 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami o delovanju umetne inteligence. [Informacije, ki jih zagotavlja umetna inteligenca, so na splošno nevtralne, objektivne in nepristranske.]","DT2 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami o delovanju umetne inteligence. [Mislim, da je umetna inteligenca sama po sebi pametnejša in sposobnejša od ljudi.]","DT2 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami o delovanju umetne inteligence. [ Običajno zaupam dejanski točnosti odgovorov, ki jih ustvari umetna inteligenca, ne da bi čutil potrebo po dvojnem preverjanju drugih virov.]","DT2 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami o delovanju umetne inteligence. [Jasno razumem, kako asistent GenAI ustvarja svoje odgovore.]","DT2 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami o delovanju umetne inteligence. [Način, kako nekaj zahtevam od umetne inteligence, nima nobenega vpliva na kakovost doseženega rezultata.]","DT3 Kako vas skrbijo naslednje možne posledice uporabe umetne inteligence v izobraževanju?
 [Zaradi široke uporabe umetne inteligence je nemogoče natančno oceniti dejanski nauk in sposobnosti dijakov in študentov.]","DT3 Kako vas skrbijo naslednje možne posledice uporabe umetne inteligence v izobraževanju?
 [Zanašanje na umetno inteligenco bo zmanjšalo kritično mišljenje, ustvarjalnost in sposobnosti reševanja problemov dijakov in študentov.]","DT3 Kako vas skrbijo naslednje možne posledice uporabe umetne inteligence v izobraževanju?
 [Težave pri razlikovanju med vsebino, ki jo ustvari človek, in vsebino, ki jo ustvari umetna inteligenca (npr. lažne novice, ponaredki).]","DT3 Kako vas skrbijo naslednje možne posledice uporabe umetne inteligence v izobraževanju?
 [Kako platforme umetne inteligence zbirajo, uporabljajo in shranjujejo osebne podatke in vnose mojih dijakov in študentov.]","DT3 Kako vas skrbijo naslednje možne posledice uporabe umetne inteligence v izobraževanju?
 [Orodja umetne inteligence lahko okrepijo obstoječe družbene pristranskosti in diskriminacijo (npr. spol, rasa, kulturni stereotipi).]","DT3 Kako vas skrbijo naslednje možne posledice uporabe umetne inteligence v izobraževanju?
 [Neenak dostop do plačljivih orodij umetne inteligence bo ustvaril nepravične prednosti med dijaki in študenti.]",DT3.7 Nenehen pritisk po učenju in sledenju novim digitalnim in AI orodjem povzroča pri meni stres in tesnobo.,"DT3.8 Skrbi me, da se zaradi zanašanja na umetno inteligenco za izdelavo visokokakovostnega dela počutim manj sposobnega ali pametnega, ko moram sam opravljati podobne naloge.","DT4 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami glede vaših pričakovanj glede umetne inteligence. [Pričakujem, da bo umetna inteligenca bistveno pospešila moje vsakodnevne študijske oziroma delovne naloge ter povečala mojo učinkovitost.]","DT4 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami glede vaših pričakovanj glede umetne inteligence. [Verjamem, da lahko umetna inteligenca popolnoma prilagodi učna gradiva individualnemu tempu in učnemu slogu vsakega posameznega dijaka ali študenta.]","DT4 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami glede vaših pričakovanj glede umetne inteligence. [Pričakujem, da bo umetna inteligenca omogočila bolj dostopno in vključujoče učenje za dijake in študente z različnimi kognitivnimi potrebami ali jezikovnimi ovirami.]","DT4 Prosimo, označite stopnjo strinjanja z naslednjimi trditvami glede vaših pričakovanj glede umetne inteligence. [Pričakujem, da bo umetna inteligenca prevzela administrativne naloge in ocenjevanje, kar mi bo omogočilo, da se bom lahko bolj posvetil/-a neposrednemu delu z ljudmi ter mentorstvu.]"
26/03/2026 22:56:09,Slovenija,Ženski,51–60,Nad 25 let,"Družboslovje (književnost, zgodovina, filozofija)",3 – Srednje: občasno uporabljam UI.,Nekajkrat mesečno,Brainstorming idej (vihranje idej) in iskanje navdiha,"Pregledam izhodne podatke, ki jih ustvari umetna inteligenca, da ugotovim morebitne napake in po potrebi izboljšam besedilo.","Moje prvotno delo bi bilo boljše, vendar je bila umetna inteligenca hitrejša.",Nima pomembnega vpliva na moj čas ali trud.,"Zelo malo časa (običajno sprejmem prvi odgovor, ki ga ponudi).",Nekoliko prepričan,"Sistematično preverim primarne in verodostojne vire, da potrdim podatke.","Da, občasno.","Da, pogosto.","Radovednost, Skepticizem, Sumničavost","Uporabljate jo le, če je nujno potrebna za šolo ali delo.",Nekajkrat na mesec,Bližnjico (za opravljanje težkega dela ali opravljanje nalog namesto mene).,Strinjam se,Strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se,Ne strinjam se,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se
27/03/2026 08:27:11,Slovenija,Ženski,51–60,Nad 25 let,Poklicno/tehnično izobraževanje,3 – Srednje: občasno uporabljam UI.,Nekajkrat tedensko,"Brainstorming idej (vihranje idej) in iskanje navdiha, Povzemanje dolgih dokumentov ali člankov",Uporabljam jih kot osnutek ali navdih in jih močno prepišem.,Z umetno inteligenco bi ustvarila podoben rezultat.,"Obogati moje delo (daje mi ideje, ki jih prej ne bi imel), vendar traja približno enako količino časa.",Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Nekoliko prepričan,"Sistematično preverim primarne in verodostojne vire, da potrdim podatke.","Da, občasno.",Temu vidiku nisem nikoli posvečal/a pozornosti.,"Radovednost, Skepticizem, Navdušenje","Preizkusite jo, potem ko slišite dobre stvari od prijateljev ali sodelavcev.",Nekajkrat na teden,Kreativnega asistenta/sodelavca (za možgansko nevihto in soustvarjanje).,Strinjam se,Ne strinjam se,Strinjam se,Strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Sploh se ne strinjam,Rahlo me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zelo me skrbi,Zmerno me skrbi,Zmerno me skrbi,Ne strinjam se,Ne strinjam se,Strinjam se,Strinjam se,Ne strinjam se,Ne strinjam se
27/03/2026 11:36:59,Slovenija,Ženski,41–50,16–25 let,Jeziki,3 – Srednje: občasno uporabljam UI.,Nekajkrat mesečno,"Prevajanje besedil ali učenje jezika, Povzemanje dolgih dokumentov ali člankov","Pregledam izhodne podatke, ki jih ustvari umetna inteligenca, da ugotovim morebitne napake in po potrebi izboljšam besedilo.",Z umetno inteligenco bi ustvarila podoben rezultat.,Je ogromen prihranek časa.,Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Nekoliko prepričan,"Na hitro poiščem (npr. Google, Wikipedia), da ga preverim.","Da, občasno.",Temu vidiku nisem nikoli posvečal/a pozornosti.,Skepticizem,"Uporabljate jo le, če je nujno potrebna za šolo ali delo.",Nekajkrat na mesec,Kreativnega asistenta/sodelavca (za možgansko nevihto in soustvarjanje).,Strinjam se,Strinjam se,Strinjam se,Strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se,Strinjam se,Rahlo me skrbi,Zmerno me skrbi,Rahlo me skrbi,Rahlo me skrbi,Rahlo me skrbi,Rahlo me skrbi,Strinjam se,Ne strinjam se,Strinjam se,Strinjam se,Strinjam se,Strinjam se
30/03/2026 10:55:58,Slovenija,Ženski,51–60,Nad 25 let,"STEM (matematika, naravoslovje, IT)",4 – Napredno: redno uporabljam UI.,Nekajkrat tedensko,"Brainstorming idej (vihranje idej) in iskanje navdiha, Pisanje/osnutek besedila (e-poštna sporočila, eseji, poročila), Pomoč pri domačih nalogah/načrtovanju učnih ur",Uporabljam jih kot osnutek ali navdih in jih močno prepišem.,Z umetno inteligenco bi ustvarila podoben rezultat.,Je ogromen prihranek časa.,Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Nekoliko prepričan,"Na hitro poiščem (npr. Google, Wikipedia), da ga preverim.","Da, pogosto.","Da, občasno.","Radovednost, Skepticizem, Navdušenje","Preizkusite jo, potem ko slišite dobre stvari od prijateljev ali sodelavcev.",Nekajkrat na teden,Kreativnega asistenta/sodelavca (za možgansko nevihto in soustvarjanje).,Strinjam se,Popolnoma se strinjam,Strinjam se,Strinjam se,Ne strinjam se,Strinjam se,Strinjam se,Sploh se ne strinjam,Sploh me ne skrbi,Sploh me ne skrbi,Zmerno me skrbi,Zmerno me skrbi,Sploh me ne skrbi,Izjemno me skrbi,Sploh se ne strinjam,Sploh se ne strinjam,Popolnoma se strinjam,Popolnoma se strinjam,Strinjam se,Strinjam se
30/03/2026 12:19:59,Slovenija,Ženski,41–50,16–25 let,Jeziki,3 – Srednje: občasno uporabljam UI.,Nekajkrat tedensko,Brainstorming idej (vihranje idej) in iskanje navdiha,Uporabljam jih kot osnutek ali navdih in jih močno prepišem.,Z umetno inteligenco bi ustvarila podoben rezultat.,"Obogati moje delo (daje mi ideje, ki jih prej ne bi imel), vendar traja približno enako količino časa.",Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Ne zelo prepričan,"Na hitro poiščem (npr. Google, Wikipedia), da ga preverim.","Da, pogosto.","Da, občasno.","Strah, Skepticizem","Preizkusite jo, potem ko slišite dobre stvari od prijateljev ali sodelavcev.",Redko,Kreativnega asistenta/sodelavca (za možgansko nevihto in soustvarjanje).,Strinjam se,Strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se,Sploh se ne strinjam,Zmerno me skrbi,Zelo me skrbi,Izjemno me skrbi,Zelo me skrbi,Zmerno me skrbi,Zelo me skrbi,Ne strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se,Sploh se ne strinjam,Ne strinjam se
30/03/2026 13:49:47,Slovenija,Ženski,41–50,6–15 let,"Družboslovje (književnost, zgodovina, filozofija)",3 – Srednje: občasno uporabljam UI.,Nekajkrat tedensko,"Brainstorming idej (vihranje idej) in iskanje navdiha, Pisanje/osnutek besedila (e-poštna sporočila, eseji, poročila), Pomoč pri domačih nalogah/načrtovanju učnih ur","Pregledam izhodne podatke, ki jih ustvari umetna inteligenca, da ugotovim morebitne napake in po potrebi izboljšam besedilo.",Z umetno inteligenco bi ustvarila podoben rezultat.,Je ogromen prihranek časa.,Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Ne zelo prepričan,"Na hitro poiščem (npr. Google, Wikipedia), da ga preverim.","Da, občasno.",Temu vidiku nisem nikoli posvečal/a pozornosti.,Radovednost,"Preizkusite jo, potem ko slišite dobre stvari od prijateljev ali sodelavcev.",Nekajkrat na teden,Kreativnega asistenta/sodelavca (za možgansko nevihto in soustvarjanje).,Ne strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se,Ne strinjam se,Sploh se ne strinjam,Ne strinjam se,Sploh se ne strinjam,Rahlo me skrbi,Zmerno me skrbi,Zelo me skrbi,Izjemno me skrbi,Zelo me skrbi,Zelo me skrbi,Ne strinjam se,Ne strinjam se,Strinjam se,Strinjam se,Sploh se ne strinjam,Ne strinjam se
30/03/2026 14:56:47,Slovenija,Ženski,41–50,16–25 let,Podaljšano bivanje,3 – Srednje: občasno uporabljam UI.,Nekajkrat tedensko,"Brainstorming idej (vihranje idej) in iskanje navdiha, Pisanje/osnutek besedila (e-poštna sporočila, eseji, poročila), Ustvarjanje slik ali predstavitev","Pregledam izhodne podatke, ki jih ustvari umetna inteligenca, da ugotovim morebitne napake in po potrebi izboljšam besedilo.",Z umetno inteligenco bi ustvarila podoben rezultat.,"Obogati moje delo (daje mi ideje, ki jih prej ne bi imel), vendar traja približno enako količino časa.",Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Ne zelo prepričan,"Na hitro poiščem (npr. Google, Wikipedia), da ga preverim.","Da, občasno.","Da, občasno.",Skepticizem,"Počakate, da postane običajna in jo večina ljudi uporablja.",Nekajkrat na teden,Kreativnega asistenta/sodelavca (za možgansko nevihto in soustvarjanje).,Ne strinjam se,Ne strinjam se,Strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se,Ne strinjam se,Rahlo me skrbi,Zelo me skrbi,Izjemno me skrbi,Izjemno me skrbi,Zmerno me skrbi,Izjemno me skrbi,Ne strinjam se,Sploh se ne strinjam,Ne strinjam se,Ne strinjam se,Ne strinjam se,Ne strinjam se
30/03/2026 15:34:29,Slovenija,Ženski,41–50,16–25 let,DSP,4 – Napredno: redno uporabljam UI.,Nekajkrat tedensko,"Prevajanje besedil ali učenje jezika, Reševanje matematičnih/logičnih problemov ali kodiranje, Pomoč pri domačih nalogah/načrtovanju učnih ur","Preberem jih, da preverim morebitne napake, vendar jih večinoma ohranim nedotaknjene.","Umetna inteligenca je ustvarila veliko boljši rezultat, kot bi ga lahko jaz.",Je ogromen prihranek časa.,Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Nekoliko prepričan,"Sistematično preverim primarne in verodostojne vire, da potrdim podatke.","Da, občasno.","Da, občasno.","Radovednost, Upanje, Sumničavost","Počakate, da postane običajna in jo večina ljudi uporablja.",Nekajkrat na teden,Pametni iskalnik (za hitro in natančno iskanje informacij).,Strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se,Strinjam se,Strinjam se,Ne strinjam se,Strinjam se,Zelo me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Ne strinjam se,Strinjam se,Strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se
30/03/2026 16:21:32,Slovenija,Ženski,Nad 60,Nad 25 let,"Družboslovje (književnost, zgodovina, filozofija)",2 – Začetnik: poznam osnovne koncepte.,Nekajkrat mesečno,Ustvarjanje slik ali predstavitev,"Pregledam izhodne podatke, ki jih ustvari umetna inteligenca, da ugotovim morebitne napake in po potrebi izboljšam besedilo.","Umetna inteligenca je ustvarila veliko boljši rezultat, kot bi ga lahko jaz.","Obogati moje delo (daje mi ideje, ki jih prej ne bi imel), vendar traja približno enako količino časa.",Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Ne zelo prepričan,"Na hitro poiščem (npr. Google, Wikipedia), da ga preverim.","Da, občasno.","Da, občasno.",Radovednost,"Preizkusite jo, potem ko slišite dobre stvari od prijateljev ali sodelavcev.",Nekajkrat na mesec,Bližnjico (za opravljanje težkega dela ali opravljanje nalog namesto mene).,Ne strinjam se,Ne strinjam se,Sploh se ne strinjam,Sploh se ne strinjam,Ne strinjam se,Sploh se ne strinjam,Strinjam se,Sploh se ne strinjam,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zmerno me skrbi,Zelo me skrbi,Ne strinjam se,Sploh se ne strinjam,Strinjam se,Strinjam se,Strinjam se,Ne strinjam se
30/03/2026 18:40:17,Slovenija,Ženski,41–50,16–25 let,"STEM (matematika, naravoslovje, IT)",1 – Popolni začetnik: skoraj nič ne vem.,Redko,"Brainstorming idej (vihranje idej) in iskanje navdiha, Pomoč pri domačih nalogah/načrtovanju učnih ur","Pregledam izhodne podatke, ki jih ustvari umetna inteligenca, da ugotovim morebitne napake in po potrebi izboljšam besedilo.",Z umetno inteligenco bi ustvarila podoben rezultat.,"Obogati moje delo (daje mi ideje, ki jih prej ne bi imel), vendar traja približno enako količino časa.",Zmerno količino časa (prosim za nekaj prilagoditev ali izboljšav).,Ne zelo prepričan,"Na hitro poiščem (npr. Google, Wikipedia), da ga preverim.","Ne, nikoli.","Da, občasno.","Tesnoba, Strah, Skepticizem","Počakate, da postane običajna in jo večina ljudi uporablja.",Nikoli,Bližnjico (za opravljanje težkega dela ali opravljanje nalog namesto mene).,Ne strinjam se,Ne strinjam se,Sploh se ne strinjam,Ne strinjam se,Ne strinjam se,Ne strinjam se,Strinjam se,Ne strinjam se,Zelo me skrbi,Zelo me skrbi,Izjemno me skrbi,Izjemno me skrbi,Zmerno me skrbi,Zelo me skrbi,Strinjam se,Strinjam se,Strinjam se,Ne strinjam se,Strinjam se,Strinjam se
